Brandon Stark-0
Torrhen Stark-1
Rickard Stark-2
Eddard Stark-3
Benjen Stark-3
Lyanna Stark-3
John Snow-4
Robb Stark-4
Sansa Stark-4
Arya Stark-4
Bran Stark-4
Rickon Stark-4
Hoster Tully-2
Minisa Tully-2
Bryden Tully-2
Catelyn Stark-3
Lisa Arryn-3
Edmure Tully-3
Robin Arryn-4
Tytos Lannister-1
Jeyne Lannister-1
Tywin Lannister-2
Kevan Lannister-2
Jaime Lannister-3
Tyrion Lannister-3
Cercei Lannister-3
Steffon Baratheon-2
Cassana Baratheon-2
Robert Baratheon-3
Stannis Baratheon-3
Renly Baratheon-3
Joffrey Baratheon-4
Mycella Baratheon-4
Tommen Baratheon-4
Gendry-4
Shireen Baratheon-4
Olena Tyrell-2
Mace Tyrell-3
Margery Tyrell-4
Loras Tyrell-4
Lancel Lannister-3
Martyl Lannister-3
Willen Lannister-3
